Kanji	Hiragana	English
辞典	じてん	dictionary
品物	しなもの	goods
	しばらく	little while
市民	しみん	citizen
事務所	じむしょ	office
社会	しゃかい	society,public
社長	しゃちょう	company president
住所	じゅうしょ	an address,a residence
柔道	じゅうどう	judo
十分	じゅうぶん	enough
出席	しゅっせき・する	to attend
小説	しょうせつ	novel
招待	しょうたい・する	to invite
承知	しょうち・する	to consent
食事	しょくじ・する	to have a meal
食料品	しょくりょうひん	groceries
知らせる	しらせる	to notify
人口	じんこう	population
神社	じんじゃ	Shinto shrine
親切	しんせつ	kindness
新聞社	しんぶんしゃ	newspaper company
水道	すいどう	water supply
数学	すうがく	mathematics,arithmetic
	すく	to become empty
進む	すすむ	to make progress
	すっかり	completely
	すっと	straight,all of a sudden
砂	すな	sand
滑る	すべる	to slide,to slip
隅	すみ	corner,nook
済む	すむ	to finish
	すり	pickpocket
	すると	then
生活	せいかつ・する	to live
生産	せいさん・する	to produce
政治	せいじ	politics,government
西洋	せいよう	western countries
世話	せわ・する	to look after
線	せん	line
先輩	せんぱい	senior
	そう	really
相談	そうだん・する	to discuss
祖父	そふ	grandfather
祖母	そぼ	grandmother
	それに	moreover
	それほど	to that extent
退院	たいいん・する	to leave hospital
大体	だいたい	generally
大分	だいぶ	greatly
倒れる	たおれる	to break down
足す	たす	to add a number
訪ねる	たずねる	to visit
尋ねる	たずねる	to ask
畳	たたみ	Japanese straw mat
立てる	たてる	to stand something up
建てる	たてる	to build
棚	たな	shelves
楽しみ	たのしみ	joy
楽む	たのしむ	to enjoy oneself
	たまに	occasionally
暖房	だんぼう	heating
血	ち	blood
	ちっとも	not at all (used with a negative verb)
注射	ちゅうしゃ	injection
駐車場	ちゅうしゃじょう	parking lot
地理	ちり	geography
付く	つく	to be attached
漬ける	つける	to soak,to pickle
釣る	つる	to fish
連れる	つれる	to lead
適当	てきとう	suitability
手袋	てぶくろ	glove
点	てん	point,dot
店員	てんいん	shop assistant
電灯	でんとう	electric light
電報	でんぽう	telegram
展覧会	てんらんかい	exhibition
都	と	metropolitan
道具	どうぐ	tool,means
	とうとう	finally, after all
遠く	とおく	distant
	とこや	barber
途中	とちゅう	on the way
特急	とっきゅう	limited express train (faster than an express train)
届ける	とどける	to reach
取り替える	とりかえる	to exchange
	どんどん	more and more
直る	なおる	to be fixed,to be repaired
治る	なおる	to be cured,to heal
中々	なかなか	considerably
亡くなる	なくなる	to die
投げる	なげる	to throw or cast away
	なさる	(respectful) to do
鳴る	なる	to sound
	なるべく	as much as possible
苦い	にがい	bitter
二階建て	にかいだて	two storied
日記	にっき	journal
入院	にゅういん・する	to hospitalise
入学	にゅうがく・する	to enter school or university
似る	にる	to be similar
人形	にんぎょう	doll, figure
塗る	ぬる	to paint,to plaster
	ぬれる	to get wet
熱	ねつ	fever
	ねっしん	enthusiasm
乗り換える	のりかえる	to change between buses or trains
葉	は	leaf
倍	ばい	double
拝見	はいけん・する	(humble) to look at
歯医者	はいしゃ	dentist
運ぶ	はこぶ	to transport
発音	はつおん	pronunciation
花見	はなみ	cherry-blossom viewing
林	はやし	woods,forester
反対	はんたい	opposition
冷える	ひえる	to grow cold
光る	ひかる	to shine,to glitter
引き出し	ひきだし	drawer,drawing out
	ひげ	beard
飛行場	ひこうじょう	airport
美術館	びじゅつかん	art gallery
非常に	ひじょうに	extremely
引っ越す	ひっこす	to move house
開く	ひらく	to open an event
昼間	ひるま	daytime,during the day
拾う	ひろう	to pick up,to gather
深い	ふかい	deep
複雑	ふくざつ	complexity,complication
復習	ふくしゅう	revision
部長	ぶちょう	head of a section
普通	ふつう	usually, or a train that stops at every station
	ぶどう	grapes
不便	ふべん	inconvenience
踏む	ふむ	to step on
降り出す	ふりだす	to start to rain
貿易	ぼうえき	trade
放送	ほうそう・する	to broadcast
法律	ほうりつ	law
星	ほし	star
	ほど	extent
翻訳	ほんやく	translation
	または	or,otherwise
真中	まんなか	middle
味噌	みそ	bean paste
港	みなと	harbour
向かう	むかう	to face
迎える	むかえる	to go out to meet
申し上げる	もうしあげる	(humble) to say,to tell
	もし	if
	もっとも	extremely
木綿	もめん	cotton
焼く	やく	to bake,to grill
役に立つ	やくにたつ	to be helpful
焼ける	やける	to burn,to be roasted
	やっと	at last
止む	やむ	to stop
柔らかい	やわらかい	soft
湯	ゆ	hot water
輸出	ゆしゅつ・する	to export
輸入	ゆにゅう・する	to import
揺れる	ゆれる	to shake,to sway
用	よう	use
用意	ようい	preparation
用事	ようじ	things to do
予習	よしゅう	preparation for a lesson
予約	よやく	reservation
寄る	よる	to visit
利用	りよう	utilization
旅館	りょかん	Japanese hotel
冷房	れいぼう	air conditioning
	ワープロ	word processor
沸かす	わかす	to boil,to heat
別れる	わかれる	to separate
沸く	わく	to boil, to grow hot,to get excited
訳	わけ	meaning,reason
割合	わりあい	rate,ratio,percentage
割れる	われる	to break
厚い	あつい	kind, deep, thick
	いかが	how
池	いけ	pond
嫌	いや	unpleasant
薄い	うすい	thin,weak
上着	うわぎ	jacket
大勢	おおぜい	great number of people
置く	おく	to put
奥さん	おくさん	(honorable) wife
一昨年	おととし	year before last
	おまわりさん	friendly term for policeman
階段	かいだん	stairs
返す	かえす	to return something
貸す	かす	to lend
方	かた	person, way of doing
家庭	かてい	household
花瓶	かびん	a vase
辛い	からい	spicy
借りる	かりる	to borrow
曇る	くもる	to become cloudy,to become dim
暗い	くらい	gloomy
警官	けいかん	policeman
玄関	げんかん	entry hall
交差点	こうさてん	intersection
交番	こうばん	police box
先	さき	the future,previous
差す	さす	to stretch out hands,to raise an umbrella
自動車	じどうしゃ	automobile
字引	じびき	dictionary
締める	しめる	to tie
丈夫	じょうぶ	strong,durable
	ストーブ	heater
	せっけん	economy
背広	せびろ	business suit
	そば	near,beside
	それでは	in that situation
大使館	たいしかん	embassy
台所	だいどころ	kitchen
出す	だす	to put out
	たて	length,height
	だんだん	gradually
	ちゃわん	rice bowl
一日	ついたち	first of month
	つける	to turn on
	では	with that...
戸	と	Japanese style door
	どなた	who
	どれ	which (of three or more)
鳴く	なく	animal noise. to chirp, roar or croak etc.
	など	et cetera
並ぶ	ならぶ	to line up,to stand in a line
並べる	ならべる	to line up,to set up
温い	ぬるい	luke warm
灰皿	はいざら	ashtray
葉書	はがき	postcard
二十日	はつか	twenty days,twentieth
貼る	はる	to stick
弾く	ひく	to play an instrument with strings, including piano
一月	ひとつき	one month
封筒	ふうとう	envelope
吹く	ふく	to blow
服	ふく	clothes
太い	ふとい	fat
降る	ふる	to fall, e.g. rain or snow
文章	ぶんしょう	sentence,text
辺	へん	area
勉強	べんきょうする	to study
帽子	ぼうし	hat
細い	ほそい	thin
本棚	ほんだな	bookshelves
毎朝	まいあさ	every morning
曲る	まがる	to turn,to bend
丸い/円い	まるい	round,circular
万年筆	まんねんひつ	fountain pen
磨く	みがく	to brush teeth, to polish
向こう	むこう	over there
八百屋	やおや	greengrocer
夕飯	ゆうはん	dinner
昨夜	ゆうべ	last night
洋服	ようふく	western-style clothes
	ラジカセ / ラジオカセット	radio cassette player
零	れい	zero
練習	れんしゅうする	to practice
廊下	ろうか	corridor
	ワイシャツ	business shirt
渡す	わたす	to hand over
渡る	わたる	to go across
